"date","close","volume","open","high","low"
"2017/02/13","139.8700","2753063.0000","140.4800","140.6500","139.0500"
"2017/02/10","139.8500","3296663.0000","138.6000","140.5700","138.2450"
"2017/02/09","138.7100","2931853.0000","137.7800","139.1500","137.4100"
"2017/02/08","137.8800","2879047.0000","136.8900","137.9100","136.8200"
"2017/02/07","136.6500","3239015.0000","137.1600","137.7000","136.3300"
"2017/02/06","136.4900","3863055.0000","137.4300","137.9000","136.4500"
"2017/02/03","137.9800","2653721.0000","137.2600","138.4700","136.9700"
"2017/02/02","136.9500","2195067.0000","137.4700","137.5500","136.5600"
"2017/02/01","137.4400","2959601.0000","137.6600","137.9600","136.5300"
"2017/01/31","137.5800","3225224.0000","137.6300","138.6150","136.8500"
"2017/01/30","138.4700","2704897.0000","137.9900","138.4900","136.8600"
"2017/01/27","138.3300","3145823.0000","138.8000","138.8300","137.7000"
"2017/01/26","138.4600","2931349.0000","138.0100","139.1800","137.7100"
"2017/01/25","137.4800","3630775.0000","138.4500","139.3700","137.4300"
"2017/01/24","138.0600","4050949.0000","137.8800","138.3800","137.3000"
"2017/01/23","138.0700","7037949.0000","135.3100","138.2700","135.0000"
"2017/01/20","135.6000","4853602.0000","135.2600","136.0000","134.6000"
"2017/01/19","135.3900","5078525.0000","136.0000","136.7800","134.9300"
"2017/01/18","136.1600","3869676.0000","135.9000","136.2950","134.9200"
"2017/01/17","135.9300","3976936.0000","135.0900","136.4800","134.7600"
"2017/01/13","135.0400","3117699.0000","134.9200","135.7500","134.7600"
"2017/01/12","135.0700","3600179.0000","135.5100","135.5300","133.9400"
"2017/01/11","135.7000","4641181.0000","136.1000","136.3850","134.7400"
"2017/01/10","136.1000","5927979.0000","134.0000","136.3800","133.7700"
"2017/01/09","134.3100","4307454.0000","133.2200","134.7600","133.1400"
"2017/01/06","133.5300","3824085.0000","133.9700","134.3300","133.0500"
"2017/01/05","133.9000","3713445.0000","134.9800","135.4600","133.7801"
"2017/01/04","135.5000","4050888.0000","134.3400","135.9400","134.2100"
"2017/01/03","134.3100","5300408.0000","135.1000","135.5100","133.5890"
"2016/12/30","134.0800","4149055.0000","135.6400","135.8200","133.8300"
"2016/12/29","135.1000","2777884.0000","135.0200","135.8499","134.6300"
"2016/12/28","135.0700","3321745.0000","135.5700","135.8600","134.6600"
"2016/12/27","135.2600","2254679.0000","134.7600","135.7200","134.7100"
"2016/12/23","135.0500","2337535.0000","135.6500","135.9900","134.7900"
"2016/12/22","135.4300","4094479.0000","136.2500","137.0000","135.1800"
"2016/12/21","136.8300","2705503.0000","136.9300","137.2400","136.5600"
"2016/12/20","137.1100","4300362.0000","135.6500","137.2400","135.4300"
"2016/12/19","135.4400","3460703.0000","135.0600","136.5000","134.7900"
"2016/12/16","135.1100","9429092.0000","136.1100","136.6100","135.0500"
"2016/12/15","135.8400","5836283.0000","136.5100","137.3250","135.7700"
"2016/12/14","135.9800","7029182.0000","136.0500","136.8800","135.7500"
"2016/12/13","136.5400","6789804.0000","134.5500","136.8900","134.5500"
"2016/12/12","134.5800","6272158.0000","133.1300","134.6600","133.1300"
"2016/12/09","133.3900","5168987.0000","132.5100","133.4000","131.1000"
"2016/12/08","132.5300","4975117.0000","132.2100","133.1300","131.5800"
"2016/12/07","132.4600","6985607.0000","128.7500","133.0600","128.7500"
"2016/12/06","128.7400","4292431.0000","130.1300","130.1400","128.6775"
"2016/12/05","129.6800","4064655.0000","130.3200","130.4600","129.5600"
"2016/12/02","129.8700","3735762.0000","129.0400","130.6150","128.9100"
"2016/12/01","129.4700","5398638.0000","129.3400","130.3500","129.0000"
"2016/11/30","129.4000","6972768.0000","129.3400","130.3200","128.8100"
"2016/11/29","129.6200","4122995.0000","130.3500","130.7800","129.2500"
"2016/11/28","130.6400","4743742.0000","131.2500","131.6500","130.1700"
"2016/11/25","131.5700","2545977.0000","131.8600","132.1350","131.0700"
"2016/11/23","131.2100","3606202.0000","131.3600","131.9900","130.8600"
"2016/11/22","130.9800","5521684.0000","128.3800","131.3000","128.3800"
"2016/11/21","128.2200","4064958.0000","128.2800","128.9000","127.4100"
"2016/11/18","128.3300","4426357.0000","128.9300","129.3600","127.7200"
"2016/11/17","128.9300","6746358.0000","125.8700","129.1400","125.7000"
"2016/11/16","125.3300","9771110.0000","123.6000","125.7000","123.2800"
"2016/11/15","124.4000","13426200.0000","127.0700","127.6700","122.9200"
"2016/11/14","127.6700","11424460.0000","130.5000","130.6400","126.9400"
"2016/11/11","129.8500","5491391.0000","129.0600","130.1300","128.7200"
"2016/11/10","129.0300","8722531.0000","126.7200","130.1000","126.5100"
"2016/11/09","126.0200","8040724.0000","120.9500","126.2600","120.3200"
"2016/11/08","124.2500","6095418.0000","123.9500","125.4200","123.6000"
"2016/11/07","123.7500","5497371.0000","122.5000","123.9800","122.3100"
"2016/11/04","120.9100","4605646.0000","120.5400","121.9000","120.0600"
"2016/11/03","120.1800","5113481.0000","120.3400","120.9300","120.0800"
"2016/11/02","120.2900","4841690.0000","119.9300","121.2900","119.8200"
"2016/11/01","119.8900","7470169.0000","121.6900","122.2500","119.2000"
"2016/10/31","122.0100","5671523.0000","123.3500","123.5000","121.6200"
"2016/10/28","123.5800","4494671.0000","122.7000","124.0900","122.2065"
"2016/10/27","122.2600","4259349.0000","122.7100","123.4600","121.8500"
"2016/10/26","122.7100","5454156.0000","122.8300","123.7500","122.4000"
"2016/10/25","123.3400","8722838.0000","126.2700","126.2700","123.2900"
"2016/10/24","127.7800","3821029.0000","127.2300","128.1400","127.2300"
"2016/10/21","126.6000","3217777.0000","125.3100","126.8000","125.2500"
"2016/10/20","126.2500","3543223.0000","125.9500","127.0800","125.5700"
"2016/10/19","125.8900","4095509.0000","125.7600","126.0900","124.5100"
"2016/10/18","125.7400","3558670.0000","126.1500","126.2500","125.1500"
"2016/10/17","125.1400","3746397.0000","126.1800","126.8000","124.8800"
"2016/10/14","126.4200","4462032.0000","126.9000","127.5600","126.4200"
"2016/10/13","126.2900","3655714.0000","126.2500","126.6600","125.1730"
"2016/10/12","126.6900","3543326.0000","125.8500","127.1600","125.7100"
"2016/10/11","125.8500","5106792.0000","126.8500","127.0800","125.4600"
"2016/10/10","127.2500","4345486.0000","128.4500","128.9400","127.2500"
"2016/10/07","128.3100","5496050.0000","129.8300","130.4100","127.8800"
"2016/10/06","130.1900","7459861.0000","126.8700","130.4500","126.4300"
"2016/10/05","127.5800","4107731.0000","128.3200","129.0300","127.5200"
"2016/10/04","128.2000","4847942.0000","128.5300","129.9200","127.9500"
"2016/10/03","128.5000","3652558.0000","128.2000","128.8200","127.9700"
"2016/09/30","128.6800","5613636.0000","127.8700","129.2400","127.6300"
"2016/09/29","127.9300","5983384.0000","128.5000","130.7400","127.9100"
"2016/09/28","128.2700","5740245.0000","127.2100","128.5300","127.0600"
"2016/09/27","126.8200","4425322.0000","125.8000","126.9900","125.3600"
"2016/09/26","125.4500","5336764.0000","127.1000","127.2300","125.3500"
"2016/09/23","127.7900","4460674.0000","128.6300","129.2000","127.7900"
"2016/09/22","128.7500","4087011.0000","128.8200","129.6500","128.7200"
"2016/09/21","128.1100","5355120.0000","127.5200","128.5900","126.5500"
"2016/09/20","126.8300","3617675.0000","126.8600","127.3300","126.3300"
"2016/09/19","126.2900","4471088.0000","126.6800","127.3700","126.1700"
"2016/09/16","126.1100","6940052.0000","127.0200","127.0200","125.7000"
"2016/09/15","126.9600","5101532.0000","125.9700","127.6350","125.7100"
"2016/09/14","126.2600","4310707.0000","125.6100","126.9450","125.5650"
"2016/09/13","125.7200","6367837.0000","127.7400","128.0000","125.4300"
"2016/09/12","128.5900","7873960.0000","126.5000","128.8550","126.0000"
"2016/09/09","127.7400","6206859.0000","130.6400","130.8900","127.7300"
"2016/09/08","131.2600","5010447.0000","131.5500","132.9400","131.1200"
"2016/09/07","132.7900","4672325.0000","133.3000","133.8700","132.1600"
"2016/09/06","134.1000","4212692.0000","134.9600","135.7200","133.8814"
"2016/09/02","135.1500","3398298.0000","134.7700","135.8800","134.5500"
"2016/09/01","134.2300","3850786.0000","134.4800","135.0600","133.6600"
"2016/08/31","134.1200","4650514.0000","133.8900","134.6800","133.6000"
"2016/08/30","134.1000","3440420.0000","134.8000","135.0500","133.6300"
"2016/08/29","135.2400","3224867.0000","134.8600","135.3000","134.5800"
"2016/08/26","134.3600","4193274.0000","135.4300","136.1800","133.9200"
"2016/08/25","135.4300","3166189.0000","134.7300","136.1600","134.3700"
"2016/08/24","135.0600","3440053.0000","135.7700","136.2500","134.8100"
"2016/08/23","136.2200","2957238.0000","135.9300","136.5500","135.9300"
"2016/08/22","135.3400","2752422.0000","135.6000","135.8500","135.0200"
"2016/08/19","135.4600","3781586.0000","134.4200","135.7600","134.3200"
"2016/08/18","134.8000","4427493.0000","136.0300","136.1500","134.4400"
"2016/08/17","136.1500","5222093.0000","135.5000","136.4700","134.7500"
"2016/08/16","136.2300","7279583.0000","137.6500","138.6500","135.6600"
"2016/08/15","137.0600","6314314.0000","137.1100","137.9700","136.9300"
"2016/08/12","136.5700","4084766.0000","136.0000","137.3900","135.6321"
"2016/08/11","137.0400","4178521.0000","136.3100","137.5000","135.1700"
"2016/08/10","135.6000","3430829.0000","136.3000","136.8900","135.0600"
"2016/08/09","136.1100","3178123.0000","136.2700","137.0900","135.3400"
"2016/08/08","136.2100","3182731.0000","136.9100","137.4010","136.1600"
"2016/08/05","136.9100","3022069.0000","137.0000","137.7400","136.6000"
"2016/08/04","136.0500","3802914.0000","135.7900","137.2000","135.4600"
"2016/08/03","137.0600","3642633.0000","137.1300","137.2200","135.7000"
"2016/08/02","137.2200","3894119.0000","138.9100","139.0000","136.8200"
"2016/08/01","138.7700","3152357.0000","138.0600","138.9400","137.8500"
"2016/07/29","138.2400","3654720.0000","137.4600","138.7200","137.4400"
"2016/07/28","137.9600","3229764.0000","136.1900","138.1200","136.1050"
"2016/07/27","136.3100","3029514.0000","137.0100","137.6900","135.9600"
"2016/07/26","136.7500","2573470.0000","136.5000","137.5100","136.0600"
"2016/07/25","136.5000","3350046.0000","136.5500","136.8500","136.1500"
"2016/07/22","136.5200","2623831.0000","136.4100","136.6400","135.9600"
"2016/07/21","136.0700","4975106.0000","136.7600","137.1400","135.4700"
"2016/07/20","137.4100","3091800.0000","137.4000","137.4500","136.7700"
"2016/07/19","136.9800","3831522.0000","136.0700","137.0500","135.5600"
"2016/07/18","136.3400","3725067.0000","135.4600","136.4800","134.8100"
"2016/07/15","134.7800","5322753.0000","135.1200","135.5900","134.6500"
"2016/07/14","134.5400","3122408.0000","134.4000","134.7900","133.8300"
"2016/07/13","133.5600","4231548.0000","134.8400","135.2000","133.1000"
"2016/07/12","134.8400","3611575.0000","135.2400","135.9900","134.3000"
"2016/07/11","135.1500","4573713.0000","134.8300","135.8800","134.4500"
"2016/07/08","134.3400","4804926.0000","132.3300","134.3600","132.2500"
"2016/07/07","131.1600","3970509.0000","131.2500","132.1800","130.5600"
"2016/07/06","131.5700","4928617.0000","129.2000","131.6100","129.0300"
"2016/07/05","129.3500","4096529.0000","129.6000","130.4800","128.5030"
"2016/07/01","129.6200","5644825.0000","128.2900","130.2300","128.1200"
"2016/06/30","127.6900","6641690.0000","127.2700","127.8600","126.1000"
"2016/06/29","127.3700","5779461.0000","127.9000","128.4700","126.9000"
"2016/06/28","127.5300","5376423.0000","125.8900","127.5300","125.6000"
"2016/06/27","124.6700","5666524.0000","125.3400","125.7500","123.6200"
"2016/06/24","126.4000","8973798.0000","126.1000","127.8000","125.5000"
"2016/06/23","128.2900","4776172.0000","128.9800","129.1000","127.4500"
"2016/06/22","127.6000","3696351.0000","127.6900","128.9700","127.4000"
"2016/06/21","127.7400","3450827.0000","127.9600","128.3114","127.2850"
"2016/06/20","127.6200","3880277.0000","128.1300","128.8500","127.4200"
"2016/06/17","127.1400","7536503.0000","127.5200","127.7800","126.7300"
"2016/06/16","127.3600","4431982.0000","126.0500","127.5400","125.6600"
"2016/06/15","126.5300","5130672.0000","125.7400","127.7500","125.4900"
"2016/06/14","125.2400","7295156.0000","127.3100","127.4400","124.7100"
"2016/06/13","127.8300","4822812.0000","128.9400","129.4500","127.7850"
"2016/06/10","128.8300","3925608.0000","128.4500","129.2270","128.2100"
"2016/06/09","129.3000","3450618.0000","129.2700","129.8400","129.0400"
"2016/06/08","129.5900","3742198.0000","130.0100","130.2950","129.2500"
"2016/06/07","129.9200","4433801.0000","129.3800","130.8000","129.3200"
"2016/06/06","129.1900","8050434.0000","130.8200","130.8700","128.4700"
"2016/06/03","131.7400","4155850.0000","132.5300","132.7300","130.9200"
"2016/06/02","132.4100","3855912.0000","131.8500","132.7000","131.3300"
"2016/06/01","131.8300","4734846.0000","131.5800","132.1200","131.1500"
"2016/05/31","132.1200","6363334.0000","133.5700","133.8000","131.7200"
"2016/05/27","133.9400","4025265.0000","134.0700","134.9000","133.3800"
"2016/05/26","134.0500","3996603.0000","133.1300","134.3600","132.8600"
"2016/05/25","133.2000","5017466.0000","133.4600","134.5200","133.0500"
"2016/05/24","133.3600","5175604.0000","132.1800","133.8701","132.0500"
"2016/05/23","131.4200","3850053.0000","131.8400","132.4800","131.3000"
"2016/05/20","131.8500","5086326.0000","131.8900","133.0600","131.7480"
"2016/05/19","131.7300","4573626.0000","131.4500","132.1300","130.7800"
"2016/05/18","131.7700","8257902.0000","131.0300","132.7701","130.0200"
"2016/05/17","132.0000","15976960.0000","133.1500","134.4900","131.1000"
"2016/05/16","135.3400","8362497.0000","133.8400","136.5500","133.0800"
"2016/05/13","133.1300","5292527.0000","133.8100","135.3300","133.0300"
"2016/05/12","134.1900","5354803.0000","135.0000","135.0000","133.1000"
"2016/05/11","134.3000","6054211.0000","136.8000","137.0500","134.0400"
"2016/05/10","137.5100","3657542.0000","136.3200","137.8200","136.3000"
"2016/05/09","136.2400","3551818.0000","135.5900","136.4700","135.2400"
"2016/05/06","135.7000","3356811.0000","134.4800","135.8100","134.3110"
"2016/05/05","134.6700","3473997.0000","134.8700","135.3700","133.7500"
"2016/05/04","135.1600","3191787.0000","133.5900","135.4000","133.1300"
"2016/05/03","134.5400","3408398.0000","135.4500","135.8399","134.0400"
"2016/05/02","136.0500","4281203.0000","134.3700","136.2500","134.3100"
"2016/04/29","133.8900","4605351.0000","132.7100","134.3000","131.7500"
"2016/04/28","132.7300","5551465.0000","134.8100","135.4400","132.4900"
"2016/04/27","135.7500","3487448.0000","135.3700","136.2800","134.7650"
"2016/04/26","135.3400","3498972.0000","135.0900","136.2400","134.8800"
"2016/04/25","135.6500","2831398.0000","135.1800","135.7299","134.2800"
"2016/04/22","135.6600","4180110.0000","134.8500","135.6800","133.4100"
"2016/04/21","134.6000","3541740.0000","135.2300","135.4900","134.3900"
"2016/04/20","135.1900","4755103.0000","135.7500","136.0800","134.4800"
"2016/04/19","135.4400","4649461.0000","136.8000","137.0000","134.8500"
"2016/04/18","136.8000","3964553.0000","134.8100","136.8000","134.7400"
"2016/04/15","135.0100","3508644.0000","134.4100","135.2750","133.9700"
"2016/04/14","134.3700","4183198.0000","133.5000","134.7125","132.8800"
"2016/04/13","133.8400","4321897.0000","134.8600","134.8600","133.2200"
"2016/04/12","134.3800","4230752.0000","133.3000","134.7200","133.1100"
"2016/04/11","133.0100","3472649.0000","133.5800","135.0800","132.9600"
"2016/04/08","133.6200","2924397.0000","134.6200","134.6200","133.0600"
"2016/04/07","133.8700","3950135.0000","134.7300","135.2400","133.1200"
"2016/04/06","135.4400","3365521.0000","134.2500","135.7401","133.8200"
"2016/04/05","134.5800","4068495.0000","134.2000","135.7000","133.9000"
"2016/04/04","134.8500","3547634.0000","136.0700","136.2300","134.3500"
"2016/04/01","134.8500","4257861.0000","133.1000","135.2000","133.1000"
"2016/03/31","133.4300","3685242.0000","133.5600","134.2900","133.0000"
"2016/03/30","133.4200","3138015.0000","133.1100","133.9290","132.8400"
"2016/03/29","132.4700","3404933.0000","131.0000","132.9000","130.7100"
"2016/03/28","131.0800","2621141.0000","130.6000","131.8100","130.4900"
"2016/03/24","130.4600","3449191.0000","129.5400","130.7600","129.4600"
"2016/03/23","130.2200","3625009.0000","130.5900","131.1800","129.9500"
"2016/03/22","130.5900","3946425.0000","130.6100","131.2200","129.9200"
"2016/03/21","131.0100","3816754.0000","131.5300","132.1300","130.2700"
"2016/03/18","131.3500","7965521.0000","131.1400","132.0900","130.8300"
"2016/03/17","130.8800","4130995.0000","130.1000","131.1900","129.3200"
"2016/03/16","130.4500","3606859.0000","129.6300","131.1100","128.8100"
"2016/03/15","129.7100","4034069.0000","128.7800","130.4800","128.6200"
"2016/03/14","128.8400","3622438.0000","128.4300","129.6600","128.1000"
"2016/03/11","128.4600","4625828.0000","126.9700","128.7600","126.7300"
"2016/03/10","125.8900","4502357.0000","126.2000","127.0000","124.3100"
"2016/03/09","126.0300","4046826.0000","127.0300","127.5200","125.3300"
"2016/03/08","126.7200","5280716.0000","125.2200","128.2000","125.0000"
"2016/03/07","126.1700","4161141.0000","125.0100","126.5400","125.0100"
"2016/03/04","125.5600","6447969.0000","127.3700","127.4980","125.1600"
"2016/03/03","126.8000","5008867.0000","125.2000","127.2600","124.7800"
"2016/03/02","125.5900","3956576.0000","125.4800","125.8700","124.4600"
"2016/03/01","125.7000","4900217.0000","124.7800","125.9700","123.9800"
"2016/02/29","124.1200","5567652.0000","126.2600","126.9900","124.0500"
"2016/02/26","126.2600","4607040.0000","127.5900","127.7500","125.9300"
"2016/02/25","126.8600","4736776.0000","125.7600","126.8600","124.8910"
"2016/02/24","125.6100","7930050.0000","124.0500","125.7800","122.9200"
"2016/02/23","124.5300","11163390.0000","127.0000","127.1900","123.3500"
"2016/02/22","122.8500","7788629.0000","123.0000","124.4700","122.1300"
"2016/02/19","121.6900","5413687.0000","119.8200","121.7000","118.7500"
"2016/02/18","119.9700","4457648.0000","120.9300","121.1100","119.5600"
"2016/02/17","121.2100","5970653.0000","120.4500","121.6800","119.8700"
"2016/02/16","119.4300","6958112.0000","118.1200","120.0000","117.7000"
